study_name,model_label,seq_length,features_length,accuracy_avg,pneumonia_precision_avg,covid_precision_avg,healthy_precision_avg,pneumonia_recall_avg,covid_recall_avg,healthy_recall_avg,pneumonia_f1_avg,covid_f1_avg,healthy_f1_avg,pneumonia_specifity_avg,covid_specifity_avg
experiment_1,densenet169-15,15,1664,0.7214830214830215,0.6515406162464986,0.7704761904761905,0.7563046757164404,0.7,0.6570054945054945,0.8032967032967033,0.6643274853801169,0.7036939594718771,0.7756223036223037,0.8258669810393947,0.9047101449275361
experiment_1,densenet169-20,20,1664,0.888888888888889,0.9,0.8800000000000001,0.89,0.86,0.8615384615384615,0.9384615384615385,0.875,0.8695652173913043,0.909090909090909,0.976923076923077,0.9478260869565217
experiment_1,densenet201-5,5,1920,0.8673943173943174,0.8684615384615384,0.8993464052287582,0.8647368421052631,0.8800000000000001,0.8307692307692308,0.8923076923076924,0.869855072463768,0.8601818181818182,0.8736034482758621,0.9464387464387464,0.9565217391304348
experiment_1,densenet201-10,10,1920,0.9,0.9428571428571428,0.8777777777777779,0.909090909090909,0.9,0.9076923076923077,0.8923076923076924,0.9176470588235294,0.8903225806451612,0.9,0.9846153846153847,0.9043478260869566
experiment_1,densenet201-15,15,1920,0.8839339339339339,0.8871794871794872,0.9,0.8899999999999999,0.8400000000000001,0.923076923076923,0.8802197802197803,0.8354515050167224,0.9081290322580646,0.8835164835164836,0.9700854700854702,0.9217391304347826
experiment_1,densenet201-20,20,1920,0.8668168168168169,0.8818181818181818,0.8732142857142857,0.8616666666666667,0.82,0.9076923076923077,0.8615384615384615,0.837092731829574,0.8891443167305237,0.8591954022988506,0.976923076923077,0.9130434782608695
experiment_1,efficientnetb0-5,5,1280,0.8722222222222221,0.8,0.9142857142857143,0.8719999999999999,0.8,0.8615384615384615,0.9384615384615385,0.8,0.8800000000000001,0.8947368421052632,0.9692307692307693,0.9739130434782609
experiment_1,efficientnetb0-10,10,1280,0.9003003003003002,0.9333333333333332,0.8655462184873949,0.9266666666666665,0.86,0.923076923076923,0.9076923076923077,0.8935672514619883,0.8918518518518519,0.9148425787106447,0.976923076923077,0.9047101449275363
experiment_1,efficientnetb0-15,15,1280,0.7542388542388543,0.7141414141414142,0.8026610644257703,0.8117857142857143,0.78,0.776510989010989,0.7098901098901098,0.7433128275233539,0.7742683982683983,0.7341027898749038,0.8801650456822869,0.852536231884058
experiment_1,efficientnetb0-20,20,1280,0.8837837837837839,0.9064935064935066,0.8879767291531998,0.8690476190476192,0.8800000000000001,0.9098901098901099,0.8615384615384615,0.8880731239864368,0.8951566951566953,0.8645925925925926,0.9695156695156694,0.9221014492753623
experiment_1,inceptionresnetv2-5,5,1536,0.8511550011550012,0.8800000000000001,0.8644963369963371,0.8209415584415585,0.8,0.8809065934065934,0.8615384615384615,0.8341795665634676,0.871586284086284,0.8385696040868454,0.9546419098143236,0.9134057971014492
experiment_1,inceptionresnetv2-10,10,1536,0.9001501501501501,0.8714285714285716,0.9333333333333332,0.9087912087912088,0.8800000000000001,0.8923076923076924,0.923076923076923,0.8728070175438596,0.909090909090909,0.9156695156695157,0.9307692307692307,0.9739130434782609
experiment_1,inceptionresnetv2-15,15,1536,0.9055555555555556,0.8800000000000001,0.9555555555555555,0.890909090909091,0.8400000000000001,0.9076923076923077,0.9538461538461538,0.8533333333333333,0.9272727272727274,0.9142857142857143,0.976923076923077,0.9826086956521738
experiment_1,inceptionresnetv2-20,20,1536,0.9112612612612614,0.8933333333333333,0.9555555555555555,0.9033333333333333,0.9400000000000001,0.8923076923076924,0.9076923076923077,0.9120000000000001,0.9192727272727271,0.905103448275862,0.9384615384615385,0.9826086956521738
experiment_1,mobilenetv2-5,5,1280,0.9166666666666667,0.9199999999999999,0.9047619047619048,0.9400000000000001,0.86,0.9692307692307693,0.9076923076923077,0.8800000000000001,0.9294117647058823,0.9217391304347826,0.9846153846153847,0.9130434782608695
experiment_1,mobilenetv2-10,10,1280,0.8833333333333334,0.8857142857142858,0.8833333333333334,0.8800000000000001,0.9199999999999999,0.876923076923077,0.8615384615384615,0.9,0.8800000000000001,0.8695652173913043,0.9384615384615385,0.9391304347826086
experiment_1,mobilenetv2-15,15,1280,0.8558558558558559,0.8,0.8876190476190476,0.8341954022988507,0.76,0.8461538461538461,0.9384615384615385,0.7789473684210526,0.8577142857142857,0.8674285714285714,1.0,0.9565217391304348
experiment_1,mobilenetv2-20,20,1280,0.8286786786786788,0.7568181818181818,0.8590476190476191,0.8036630036630037,0.6799999999999999,0.8780219780219781,0.8934065934065935,0.7107376283846871,0.8671957671957673,0.8412366538127187,0.9772079772079773,0.9137681159420289
experiment_1,nasnetlarge-5,5,4032,0.8833333333333332,0.8666666666666666,0.9,0.8714285714285716,0.8400000000000001,0.9076923076923077,0.8923076923076924,0.85,0.9023448275862069,0.8814814814814815,0.9692307692307693,0.9304347826086957
experiment_1,nasnetlarge-10,10,4032,0.8614114114114114,0.8800000000000001,0.8380952380952381,0.8657142857142857,0.8800000000000001,0.8307692307692307,0.876923076923077,0.8749473684210527,0.82729044834308,0.8703068783068784,0.9307692307692307,0.9481884057971015
experiment_1,nasnetlarge-15,15,4032,0.8952991452991453,0.8555555555555555,0.9166666666666667,0.9066666666666666,0.8800000000000001,0.8951923076923076,0.9076923076923077,0.8660287081339713,0.9055483870967741,0.9062857142857144,0.9477453580901857,0.9565217391304348
experiment_1,nasnetlarge-20,20,4032,0.9111111111111111,0.9,0.9,0.925,0.8400000000000001,0.923076923076923,0.9538461538461538,0.8571428571428571,0.9103448275862069,0.9379310344827587,0.9846153846153847,0.9304347826086957
experiment_1,nasnetmobile-5,5,1056,0.8944444444444445,0.8666666666666666,0.8923076923076924,0.9272727272727274,0.8800000000000001,0.8923076923076924,0.9076923076923077,0.8727272727272727,0.8923076923076924,0.9166666666666667,0.9384615384615385,0.9391304347826086
experiment_1,nasnetmobile-10,10,1056,0.9055555555555556,0.8666666666666666,0.9047619047619048,0.9333333333333332,0.8400000000000001,0.9692307692307693,0.8923076923076924,0.85,0.9294117647058823,0.909090909090909,0.9692307692307693,0.9130434782608695
experiment_1,nasnetmobile-15,15,1056,0.9222222222222222,0.925,0.9125,0.9333333333333332,0.9,0.9384615384615385,0.923076923076923,0.9111111111111111,0.9241379310344827,0.9280000000000002,0.976923076923077,0.9391304347826086
experiment_1,nasnetmobile-20,20,1056,0.9,0.8666666666666666,0.909090909090909,0.9,0.82,0.8923076923076924,0.9692307692307693,0.8307692307692307,0.9,0.9257142857142856,0.9846153846153847,0.9565217391304348
experiment_1,resnet152v2-5,5,2048,0.8833333333333334,0.9,0.875,0.9,0.86,0.9384615384615385,0.8461538461538461,0.875,0.8972972972972972,0.8631578947368421,0.976923076923077,0.8695652173913043
experiment_1,resnet152v2-10,10,2048,0.8944444444444445,0.95,0.8818181818181818,0.9,0.86,0.9384615384615385,0.876923076923077,0.8857142857142858,0.9028571428571428,0.8869565217391304,0.9923076923076923,0.8869565217391304
experiment_1,resnet152v2-15,15,2048,0.888888888888889,0.8666666666666666,0.9058823529411765,0.875,0.82,0.9384615384615385,0.8923076923076924,0.8307692307692307,0.9199999999999999,0.8827586206896552,0.9846153846153847,0.9304347826086957
experiment_1,resnet152v2-20,20,2048,0.9055555555555556,0.9199999999999999,0.8875,0.9199999999999999,0.86,0.9076923076923077,0.9384615384615385,0.8800000000000001,0.8965517241379309,0.9285714285714285,0.9846153846153847,0.9217391304347826
experiment_1,vgg16-5,5,25088,0.7360937860937861,0.5777777777777777,0.7520970695970697,0.7429969178306775,0.4800000000000001,0.7936813186813186,0.876923076923077,0.5226006191950464,0.7612948726337458,0.7975091575091575,0.9777188328912467,0.8184782608695652
experiment_1,vgg16-10,10,25088,0.7353661353661354,0.6416666666666667,0.7265087853323149,0.8206060606060607,0.5800000000000001,0.8934065934065935,0.6923076923076923,0.604040404040404,0.7832607649998955,0.7193974441350754,0.9477453580901857,0.7134057971014492
experiment_1,vgg16-15,15,25088,0.9,0.8947368421052632,0.8800000000000001,0.9166666666666667,0.9800000000000001,0.8307692307692307,0.9076923076923077,0.9241379310344827,0.8444444444444444,0.9120000000000001,0.923076923076923,0.9739130434782609
experiment_1,vgg16-20,20,25088,0.9,0.9199999999999999,0.9,0.8857142857142858,0.86,0.9846153846153847,0.8461538461538461,0.8800000000000001,0.9297297297297298,0.86,0.9846153846153847,0.8956521739130434
experiment_1,vgg19-5,5,25088,0.8042157542157543,1.0,0.79593653250774,0.7711111111111111,0.5,0.929945054945055,0.9076923076923078,0.6480392156862745,0.8542492500084269,0.8322739551883045,1.0,0.8445652173913045
experiment_1,vgg19-10,10,25088,0.7053938553938555,0.6571428571428571,0.8661500754147813,0.6983681677799325,0.44000000000000006,0.742445054945055,0.8659340659340659,0.49859943977591037,0.7228564538909367,0.7412034739454094,0.9401709401709402,0.9141304347826086
experiment_1,vgg19-15,15,25088,0.6951374451374451,0.8185714285714287,0.7797344322344323,0.6131868131868132,0.62,0.7994505494505495,0.654945054945055,0.6233333333333333,0.7471864342553998,0.6066809850491065,0.9176638176638177,0.7496376811594203
experiment_1,vgg19-20,20,25088,0.671933471933472,0.6717948717948719,0.6398412698412699,0.8098989898989899,0.64,0.9424450549450549,0.4252747252747254,0.6411176987263943,0.7483791903858317,0.511707133446264,0.948884959229787,0.6192028985507246
experiment_1,xception-5,5,2048,0.9166666666666667,0.9199999999999999,0.95,0.9,0.9199999999999999,0.8923076923076924,0.9384615384615385,0.9199999999999999,0.9142857142857143,0.9161290322580644,0.9692307692307693,0.9826086956521738
experiment_1,xception-10,10,2048,0.8068607068607069,0.7151515151515151,0.8364145658263306,0.7832118758434549,0.6799999999999999,0.8820054945054945,0.8307692307692308,0.6904761904761905,0.8478108305356882,0.7975240276964415,0.9777188328912467,0.8608695652173914
experiment_1,xception-15,15,2048,0.9,0.925,0.9,0.8857142857142858,0.9,0.9076923076923077,0.8923076923076924,0.9111111111111111,0.9037037037037038,0.888888888888889,0.976923076923077,0.9391304347826086
experiment_1,xception-20,20,2048,0.95,0.9454545454545455,0.9444444444444444,0.9714285714285715,0.96,1.0,0.8923076923076924,0.9523809523809523,0.967741935483871,0.9199999999999999,0.976923076923077,0.9565217391304348
